# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov 25 14:32:55 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,pl_orbper,pl_rade,pl_masse,pl_orbeccen,pl_eqt,st_mass,st_metratio,st_logg,sy_dist
25,18 Del b,,,,,,2.100000,,,76.22200000
26,18 Del b,982.85000000000,,,0.024000,,2.100000,[Fe/H],2.870000,76.22200000
27,18 Del b,993.30000000000,,,0.080000,,2.300000,[Fe/H],2.818000,76.22200000
28,1RXS J160929.1-210524 b,,,3000.00000000,,1800.00,0.623000,,3.995920,139.13500000
29,1RXS J160929.1-210524 b,,,4000.00000000,,1700.00,0.850000,,,139.13500000
30,1RXS J160929.1-210524 b,,18.64700000,2543.00000000,,1800.00,0.850000,,,139.13500000
31,1RXS J160929.1-210524 b,,,3000.00000000,,1700.00,0.850000,,,139.13500000
32,24 Boo b,30.35060000000,,,0.042000,,0.990000,[Fe/H],2.420000,95.98630000
33,24 Boo b,30.33000000000,,,0.032000,,1.050000,[Fe/H],2.280000,95.98630000
34,24 Sex b,452.80000000000,,,0.090000,,1.540000,[Fe/H],3.500000,72.06910000
35,24 Sex c,883.00000000000,,,0.290000,,1.540000,[Fe/H],3.500000,72.06910000
36,2M0437 b,,,1271.31362800,,1450.00,0.170000,[Fe/H],4.500000,128.48400000
37,2MASS J01033563-5515561 AB b,,,4131.79000000,,,0.190000,,,
38,2MASS J01225093-2439505 b,,11.20900000,,,1600.00,0.353185,,4.858040,33.82810000
39,2MASS J01225093-2439505 b,,,7786.50000000,,,0.400000,,,33.82810000
40,2MASS J02192210-3925225 b,,16.14096000,4417.83700000,,,0.108000,,4.590000,
41,2MASS J0249-0557 c,,,3686.80952120,,,0.046000,,,66.06130000
42,2MASS J03590986+2009361 b,,,5720.91132600,,2369.00,,,,117.43500000
43,2MASS J04414489+2301513 b,,,2383.60000000,,,0.019000,,,
44,2MASS J11011926-7732383 b,,,8899.19539600,,2677.00,,,,
45,2MASS J11550485-7919108 b,,,6356.56814000,,2506.00,,,,100.86200000
46,2MASS J12073346-3932539 b,,,1271.00000000,,1150.00,0.188001,,5.031860,64.30800000
47,2MASS J12073346-3932539 b,,,1589.15000000,,1250.00,0.024000,,,64.30800000
48,2MASS J19383260+4603591 b,416.00000000000,,603.87700000,,,0.480000,,,396.33200000
49,2MASS J19383260+4603591 b,406.00000000000,,,0.330000,,0.480000,,5.508000,396.33200000
50,2MASS J21252752-8138278 b,,,3813.94088400,,1616.00,,,,34.11540000
51,2MASS J22362452+4751425 b,,,3972.87500000,,,0.600000,,,69.57370000
52,30 Ari B b,345.40000000000,,,0.180000,,1.160000,,,44.65700000
53,30 Ari B b,335.10001000000,,,0.290000,,1.930000,[Fe/H],4.430000,44.65700000
54,30 Ari B b,335.10000000000,,,0.289000,,1.160000,[Fe/H],4.500000,44.65700000
55,4 UMa b,270.27000000000,,,0.453000,,1.234000,[Fe/H],1.800000,73.46030000
56,4 UMa b,269.30000000000,,,0.432000,,1.234000,[Fe/H],1.800000,73.46030000
57,47 UMa b,1076.60000000000,,,0.016000,,1.005192,[Fe/H],4.327759,13.79670000
58,47 UMa b,1078.00000000000,,,0.032000,,1.060000,[M/H],4.295410,13.79670000
59,47 UMa b,1083.20000000000,,,0.049000,,,,,13.79670000
60,47 UMa b,1076.60000000000,,,0.012000,,1.063000,[Fe/H],,13.79670000
61,47 UMa b,1100.80000000000,,,0.097000,,,,,13.79670000
62,47 UMa c,2391.00000000000,,,0.098000,,1.060000,[M/H],4.295410,13.79670000
63,47 UMa c,7586.00000000000,,,0.005000,,,,,13.79670000
64,47 UMa c,2287.00000000000,,,0.179000,,1.005192,[Fe/H],4.327759,13.79670000
65,47 UMa d,14002.00000000000,,,0.160000,,1.060000,[M/H],4.295410,13.79670000
66,47 UMa d,19000.00000000000,,,0.380000,,1.005192,[Fe/H],4.327759,13.79670000
67,51 Eri b,,,635.66000000,,700.00,1.750000,[M/H],,29.75750000
68,51 Eri b,9100.00000000000,,3464.32963630,0.570000,,1.750000,,,29.75750000
69,51 Eri b,11688.00000000000,,,0.450000,,1.650000,,4.310780,29.75750000
70,51 Eri b,14965.00000000000,,,0.210000,,1.650000,,4.310780,29.75750000
71,51 Peg b,4.23079690000,,,0.004200,,1.069296,[Fe/H],4.317353,15.46140000
72,51 Peg b,4.23077000000,,,0.000000,,,,,15.46140000
73,51 Peg b,4.23078500000,,,0.013000,,1.030000,[M/H],4.310380,15.46140000
74,51 Peg b,4.22930000000,,,0.000000,,,[M/H],4.320000,15.46140000
75,51 Peg b,4.23100000000,,146.20180000,0.000000,,1.040000,,,15.46140000
76,55 Cnc B b,6.79940000000,,,0.000000,,0.260000,[M/H],4.860000,12.47730000
77,55 Cnc B c,33.74700000000,,,0.000000,,0.260000,[M/H],4.860000,12.47730000
78,55 Cnc b,14.64700000000,,,0.030000,,,,,12.58550000
79,55 Cnc b,14.46531400000,,266.96600000,0.002300,,0.900000,[M/H],4.424590,12.58550000
80,55 Cnc b,14.65300000000,,,0.020000,,0.950000,[Fe/H],,12.58550000
81,55 Cnc b,14.65152000000,,263.97850000,0.003400,,0.950000,,,12.58550000
82,55 Cnc b,14.65162000000,,,0.014000,,0.900000,[M/H],4.424590,12.58550000
83,55 Cnc b,14.65100000000,,,0.004000,,0.900000,[M/H],4.424590,12.58550000
84,55 Cnc b,14.65126000000,,,0.015900,,0.900000,[M/H],4.424590,12.58550000
85,55 Cnc b,14.65171000000,,,0.004800,,0.974708,[Fe/H],4.458131,12.58550000
86,55 Cnc b,14.65160000000,,,0.000000,,0.905000,[Fe/H],4.430000,12.58550000
87,55 Cnc b,14.60000000000,,254.25000000,0.000000,700.00,,,,12.58550000
88,55 Cnc b,14.65155200000,,,0.002900,,1.015000,[M/H],4.300000,12.58550000
89,55 Cnc b,14.64800000000,,,0.051000,,0.850000,[Fe/H],4.500000,12.58550000
90,55 Cnc b,14.67000000000,,,0.019700,,0.950000,,,12.58550000
91,55 Cnc c,44.34460000000,,,0.086000,,0.900000,[M/H],4.424590,12.58550000
92,55 Cnc c,44.37300000000,,56.69850000,0.072000,,0.900000,[M/H],4.424590,12.58550000
93,55 Cnc c,44.38000000000,,,0.070000,,0.900000,[M/H],4.424590,12.58550000
94,55 Cnc c,44.39360000000,,,0.088000,,1.015000,[M/H],4.300000,12.58550000
95,55 Cnc c,44.41750000000,,54.47380000,0.020000,,0.950000,,,12.58550000
96,55 Cnc c,44.39890000000,,,0.030000,,0.905000,[Fe/H],4.430000,12.58550000
97,55 Cnc c,44.37870000000,,,0.053000,,0.900000,[M/H],4.424590,12.58550000
98,55 Cnc c,43.93000000000,,,0.440000,,0.950000,,,12.58550000
99,55 Cnc c,44.38270000000,,,0.048000,,0.974708,[Fe/H],4.458131,12.58550000
100,55 Cnc d,4820.00000000000,,,0.139000,,0.974708,[Fe/H],4.458131,12.58550000
101,55 Cnc d,4825.00000000000,,1232.49300000,0.019000,,0.950000,,,12.58550000
102,55 Cnc d,4545.00000000000,,,0.240000,,,,,12.58550000
103,55 Cnc d,5218.00000000000,,,0.025000,,0.900000,[M/H],4.424590,12.58550000
104,55 Cnc d,5574.20000000000,,,0.130000,,0.905000,[Fe/H],4.430000,12.58550000
105,55 Cnc d,5360.00000000000,,,0.160000,,0.950000,[Fe/H],,12.58550000
106,55 Cnc d,4517.40000000000,,,0.327000,,0.950000,,,12.58550000
107,55 Cnc d,4909.00000000000,,,0.020000,,0.900000,[M/H],4.424590,12.58550000
108,55 Cnc d,4867.00000000000,,1226.77000000,0.026900,,0.900000,[M/H],4.424590,12.58550000
109,55 Cnc d,5370.00000000000,,,0.063000,,0.900000,[M/H],4.424590,12.58550000
110,55 Cnc d,4799.00000000000,,,0.091300,,1.015000,[M/H],4.300000,12.58550000
111,55 Cnc e,0.73654370000,2.08000000,7.81000000,0.061000,1958.00,0.905000,[Fe/H],4.450000,12.58550000
112,55 Cnc e,0.73655150000,,8.13928000,0.040000,,0.950000,,,12.58550000
113,55 Cnc e,,1.92000000,8.08000000,,,0.900000,[M/H],4.424590,12.58550000
114,55 Cnc e,,,,,,0.900000,[M/H],4.424590,12.58550000
115,55 Cnc e,0.73700000000,1.89700000,7.74000000,,,0.873000,[Fe/H],4.430000,12.58550000
116,55 Cnc e,0.73654000000,2.00000000,8.63000000,,,0.963000,,,12.58550000
117,55 Cnc e,0.73654604000,,,,,,,,12.58550000
118,55 Cnc e,0.73654450000,,,0.036000,,0.974708,[Fe/H],4.458131,12.58550000
119,55 Cnc e,0.73654600000,2.17300000,8.37000000,0.000000,,0.900000,[M/H],4.424590,12.58550000
120,55 Cnc e,0.73654170000,,,,,,,,12.58550000
121,55 Cnc e,0.73654600000,,,0.010000,,1.015000,[M/H],4.300000,12.58550000
122,55 Cnc e,0.73654780000,,8.09479000,0.028000,,0.900000,[M/H],4.424590,12.58550000
123,55 Cnc e,2.79674000000,,,0.264000,,0.900000,[M/H],4.424590,12.58550000
124,55 Cnc e,2.80800000000,,,0.174000,,0.950000,,,12.58550000
125,55 Cnc e,0.73654625026,2.02311213,,,1831.27,,,4.420000,12.58550000
126,55 Cnc e,0.73653900000,1.91000000,8.08000000,,,0.900000,[M/H],4.424590,12.58550000
127,55 Cnc e,0.73654740000,1.94700000,8.59000000,,,1.015000,,,12.58550000
128,55 Cnc e,0.73654740000,1.87500000,7.99000000,0.050000,,0.905000,[Fe/H],4.430000,12.58550000
129,55 Cnc e,0.73654625000,,,,,0.905000,[Fe/H],4.450000,12.58550000
130,55 Cnc e,0.73654300000,1.85600000,,,,0.905000,[Fe/H],4.380000,12.58550000
131,55 Cnc f,260.70000000000,,,0.000000,,0.900000,[M/H],4.424590,12.58550000
132,55 Cnc f,262.00000000000,,44.81200000,0.305000,,0.950000,,,12.58550000
133,55 Cnc f,261.20000000000,,,0.320000,,0.900000,[M/H],4.424590,12.58550000
134,55 Cnc f,260.00000000000,,,0.200000,,0.900000,[M/H],4.424590,12.58550000
135,55 Cnc f,260.91000000000,,47.00510000,0.080000,,0.900000,[M/H],4.424590,12.58550000
136,55 Cnc f,260.98000000000,,,0.142000,,0.974708,[Fe/H],4.458131,12.58550000
137,55 Cnc f,259.88000000000,,,0.080000,,0.905000,[Fe/H],4.430000,12.58550000
138,55 Cnc f,260.58000000000,,,0.063000,,1.015000,[M/H],4.300000,12.58550000
139,6 Lyn b,899.00000000000,,,0.134000,,1.700000,[Fe/H],3.160000,54.65990000
140,6 Lyn b,874.77400000000,,,0.125000,,1.820000,,,54.65990000
141,6 Lyn b,934.30000000000,,,0.073000,,1.440000,,3.190000,54.65990000
142,6 Lyn b,919.86000000000,,,0.042000,,1.320000,[Fe/H],3.160000,54.65990000
143,61 Vir b,4.21500000000,,,0.120000,,0.942000,[Fe/H],4.340000,8.50332000
144,61 Vir b,4.21487000000,,,0.099000,,0.914072,[Fe/H],4.368775,8.50332000
145,61 Vir c,38.02100000000,,,0.140000,,0.942000,[Fe/H],4.340000,8.50332000
146,61 Vir c,38.09570000000,,,0.068000,,0.914072,[Fe/H],4.368775,8.50332000
147,61 Vir d,123.01000000000,,,0.350000,,0.942000,[Fe/H],4.340000,8.50332000
148,7 CMa b,735.10000000000,,,0.060000,,1.340000,[Fe/H],3.190000,19.81010000
149,7 CMa b,796.00000000000,,,0.220000,,,[M/H],,19.81010000
150,7 CMa b,,,,,,1.439000,,3.165000,19.81010000
151,7 CMa b,763.00000000000,,,0.140000,,1.520000,[Fe/H],3.250000,19.81010000
152,7 CMa c,,,,,,1.439000,,3.165000,19.81010000
153,7 CMa c,996.00000000000,,,0.080000,,1.340000,[Fe/H],3.190000,19.81010000
154,70 Vir b,116.69260000000,,,0.399000,,1.090000,[Fe/H],3.900000,17.90110000
155,70 Vir b,116.69335000000,,,0.398900,,1.060550,[Fe/H],3.893469,17.90110000
156,70 Vir b,116.68800000000,,,0.398800,,1.090000,,3.950000,17.90110000
157,70 Vir b,116.68900000000,,,0.397000,,,,,17.90110000
158,70 Vir b,116.68840000000,,,0.400000,,1.140000,[Fe/H],3.970000,17.90110000
159,70 Vir b,116.68840000000,,2380.45000000,0.400700,,1.110000,[Fe/H],4.068000,17.90110000
160,75 Cet b,691.90000000000,,,0.117000,,2.490000,[Fe/H],2.630000,82.96130000
161,75 Cet b,696.62000000000,,,0.093000,,1.920000,[Fe/H],2.690000,82.96130000
162,75 Cet c,2051.62000000000,,,0.023000,,1.920000,[Fe/H],2.690000,82.96130000
163,8 UMi b,93.40000000000,,,0.060000,,1.440000,[Fe/H],2.570000,162.55200000
164,8 UMi b,93.40000000000,,,0.060000,,1.800000,[Fe/H],2.570000,162.55200000
165,81 Cet b,,,,,,1.600000,,,101.26000000
166,81 Cet b,952.70000000000,,,0.206000,,2.400000,[Fe/H],2.350000,101.26000000
167,81 Cet b,1005.57000000000,,,0.037000,,1.230000,[Fe/H],2.410000,101.26000000
168,91 Aqr b,181.40000000000,,,0.027000,,1.400000,[Fe/H],2.520000,44.03040000
169,AB Aur b,,,2860.45566300,0.400000,,2.400000,,,162.12700000
170,AB Pic b,,,4290.50000000,,,,,,50.04750000
171,AF Lep b,7520.00000000000,,1664.46736746,0.470000,1400.00,1.201000,,4.400000,26.85640000
172,AF Lep b,8030.00000000000,,1017.05090240,0.240000,,1.200000,[Fe/H],,26.85640000
173,AF Lep b,8905.00000000000,,1147.36054927,0.015000,,1.218000,,,26.85640000
174,AF Lep b,9060.00000000000,,1366.66215010,0.320000,,1.130000,,,26.85640000
175,AT2021ueyL b,4168.69000000000,,425.89006538,,,0.490000,,,1040.00000000
176,AU Mic b,8.46321000000,4.20337500,,0.100000,,0.500000,,,9.72210000
177,AU Mic b,8.46321000000,,,0.000000,,,,,9.72210000
178,AU Mic b,8.46308000000,3.95677019,,0.005770,600.00,0.510000,[Fe/H],4.404000,9.72210000
179,AU Mic b,8.46299910000,,20.12000000,0.186000,,0.500000,,,9.72210000
180,AU Mic b,8.46300000000,,11.70000000,0.040000,,0.500000,,4.390000,9.72210000
181,AU Mic b,8.45367765822,4.02692583,,,754.62,,,4.601980,9.72210000
182,AU Mic b,8.46344600000,,6.10000000,,,0.600000,[M/H],4.520000,9.72210000
183,AU Mic b,8.46300000000,4.07000000,17.00000000,0.000000,593.00,0.500000,,,9.72210000
184,AU Mic b,8.46300040000,4.19000000,,0.120000,,,,,9.72210000
185,AU Mic b,8.46314270000,,10.20000000,,,0.600000,[M/H],4.520000,9.72210000
186,AU Mic b,8.46321000000,,17.10000000,,,0.500000,,4.390000,9.72210000
187,AU Mic c,18.85898200000,2.79000000,,0.130000,,,,,9.72210000
188,AU Mic c,18.85899100000,,9.60000000,,,0.500000,,,9.72210000
189,AU Mic c,18.85969000000,2.52202066,,0.003380,459.00,0.510000,[Fe/H],4.404000,9.72210000
190,AU Mic c,18.85901800000,,11.60000000,,,0.600000,[M/H],4.520000,9.72210000
191,AU Mic c,18.85901900000,,22.20000000,0.041000,,0.500000,,4.390000,9.72210000
192,AU Mic c,18.85901900000,3.24000000,13.60000000,0.000000,454.00,0.500000,,,9.72210000
193,AU Mic c,18.85882000000,,14.20000000,,,0.600000,[M/H],4.520000,9.72210000
194,AU Mic d,12.73596000000,,1.05300000,0.003050,,0.510000,[Fe/H],4.404000,9.72210000
195,AU Mic e,33.11000000000,,21.10000000,,,0.600000,[M/H],4.520000,9.72210000
196,AU Mic e,33.39000000000,,,,,0.600000,[M/H],4.520000,9.72210000
197,BD+03 2562 b,481.90000000000,,,0.200000,,1.140000,[Fe/H],1.890000,1070.63000000
198,BD+05 4868 A b,1.27186900000,,6.20000000,,1820.00,0.700000,[Fe/H],4.600000,43.56870000
199,BD+14 4559 b,268.94000000000,,,0.290000,,0.490000,[Fe/H],4.260000,49.35200000
200,BD+14 4559 b,268.94000000000,,,0.290000,,0.860000,[Fe/H],4.600000,49.35200000
201,BD+15 2375 b,153.22000000000,,,0.001000,,1.080000,[Fe/H],2.610000,768.04500000
202,BD+15 2940 b,137.48000000000,,,0.260000,,1.100000,[Fe/H],2.800000,426.42000000
203,BD+20 2457 b,379.63000000000,,,0.150000,,2.800000,[Fe/H],1.510000,1539.71000000
204,BD+20 2457 b,379.63000000000,,,0.150000,,10.830000,[Fe/H],1.770000,1539.71000000
205,BD+20 2457 c,621.99000000000,,,0.180000,,2.800000,[Fe/H],1.510000,1539.71000000
206,BD+20 274 b,578.20000000000,,,0.210000,,0.800000,[Fe/H],1.990000,1322.51000000
207,BD+20 594 b,41.68864400000,2.35545351,,,,0.963861,[Fe/H],4.380000,179.46100000
208,BD+20 594 b,41.68550000000,2.57807000,22.24810000,0.000000,,1.670000,[Fe/H],4.500000,179.46100000
209,BD+20 594 b,41.68550000000,2.23000000,16.30000000,0.000000,546.00,0.961000,[Fe/H],4.500000,179.46100000
210,BD+37 3172 b,1887.76000000000,,,0.590000,,3.750000,[Fe/H],1.500000,454.25100000
211,BD+42 2315 b,123.05000000000,,,0.730000,,1.380000,[Fe/H],2.000000,610.71500000
212,BD+45 564 b,307.88000000000,,,0.120000,,0.810000,[Fe/H],4.220000,53.62200000
213,BD+48 738 b,392.60000000000,,,0.200000,,0.740000,[Fe/H],2.240000,871.49300000
214,BD+48 740 b,733.00000000000,,,0.760000,,1.090000,[Fe/H],2.480000,666.58900000
215,BD+49 828 b,2590.00000000000,,,0.350000,,1.520000,[Fe/H],2.850000,442.04200000
216,BD+55 362 b,265.59000000000,,,0.270000,,0.909000,[Fe/H],4.090000,52.56970000
217,BD+60 1417 b,,14.68376472,4767.42610500,,1303.00,1.000000,,4.553900,44.95430000
218,BD+63 1405 b,1198.48000000000,,,0.880000,,0.816000,[Fe/H],4.200000,38.04730000
219,BD+63 1405 b,1230.00000000000,,3305.41543280,0.891000,,0.816000,[Fe/H],4.200000,38.04730000
220,BD-06 1339 b,3.87280000000,,,0.000000,,0.700000,[Fe/H],4.740000,20.26950000
221,BD-06 1339 c,125.94000000000,,,0.310000,,0.700000,[Fe/H],4.740000,20.26950000
222,BD-08 2823 b,5.60000000000,,,0.150000,,0.500000,[Fe/H],4.430000,41.33420000
223,BD-08 2823 b,5.60000000000,,,0.150000,,0.740000,[Fe/H],4.130000,41.33420000
224,BD-08 2823 c,237.60000000000,,,0.190000,,0.740000,[Fe/H],4.130000,41.33420000
225,BD-10 3166 b,3.48777000000,,,0.020000,,1.470000,[Fe/H],4.690000,84.40690000
226,BD-10 3166 b,3.48777000000,,,0.019000,,1.010000,[Fe/H],4.685000,84.40690000
227,BD-10 3166 b,3.48700000000,,,0.050000,,1.100000,[Fe/H],4.400000,84.40690000
228,BD-10 3166 b,3.48790500000,,,0.022000,,0.999531,[Fe/H],4.464864,84.40690000
229,BD-11 4672 b,1667.00000000000,,,0.050000,,0.571000,[Fe/H],4.100000,27.16650000
230,BD-11 4672 b,1634.00000000000,,,0.050000,,0.651000,[Fe/H],4.642000,27.16650000
231,BD-11 4672 c,74.20000000000,,,0.400000,,0.651000,[Fe/H],4.642000,27.16650000
232,BD-13 2130 b,714.29999000000,,,0.210000,,2.120000,[Fe/H],2.200000,925.21400000
233,BD-13 2130 b,714.30000000000,,,0.210000,,2.400000,,,925.21400000
234,BD-14 3065 b,4.28897310000,21.59000000,3932.00000000,0.066000,2001.00,1.410000,[Fe/H],3.850000,589.42300000
235,BD-14 3065 b,4.28896960000,20.71120000,,,1404.00,,,3.760000,589.42300000
236,BD-17 63 b,655.60000000000,,,0.540000,,0.740000,[Fe/H],4.260000,34.46030000
237,BD-17 63 b,649.00000000000,,1366.66215010,0.280000,,,,,34.46030000
238,BD-17 63 b,655.57000000000,,1639.99458012,0.543900,,0.741000,,,34.46030000
239,BD-17 63 b,655.59998000000,,,0.540000,,0.310000,[Fe/H],4.190000,34.46030000
240,BD-210397 b,1891.00000000000,,,0.100000,,0.679000,[Fe/H],4.670000,23.73240000
241,BD-210397 c,6360.00000000000,,,0.100000,,0.679000,[Fe/H],4.670000,23.73240000
242,BD-210397 c,6240.00000000000,,1525.57635360,0.430000,,0.690000,,,23.73240000
243,BD-210397 c,6374.00000000000,,1420.69297929,0.296000,,0.691000,,,23.73240000
244,BEBOP-3 b,547.00000000000,,,0.247000,,1.083000,[Fe/H],4.203000,119.05200000
245,BEBOP-4 AB b,1823.50000000000,,8358.88710410,0.428000,,1.507000,,,234.29400000
246,Barnard b,3.15330000000,,,0.160000,400.00,0.162000,[Fe/H],4.900000,1.82655000
247,Barnard b,3.15420000000,,,0.030000,438.00,0.162000,[Fe/H],4.900000,1.82655000
248,Barnard c,4.12440000000,,,0.080000,400.00,0.162000,[Fe/H],4.900000,1.82655000
249,Barnard d,2.34020000000,,,0.040000,483.00,0.162000,[Fe/H],4.900000,1.82655000
250,Barnard e,6.73920000000,,,0.040000,340.00,0.162000,[Fe/H],4.900000,1.82655000
251,CD Cet b,2.29070000000,,,,464.00,0.161000,[Fe/H],4.930000,8.60715000
252,CFBDSIR J145829+101343 b,10037.50000000000,,3337.10000000,,370.00,0.021000,,4.725000,
253,CFHTWIR-Oph 98 b,8040000.00000000000,20.84870410,2479.06157460,,1800.00,0.014700,,3.845000,
254,CHXR 73 b,,,3994.48600000,,,0.350000,,,190.37400000
255,CI Tau c,25.20000000000,,,0.580000,,,,,157.99800000
256,COCONUTS-2 b,,12.44196858,2542.62725600,,,0.370000,[Fe/H],4.830000,10.88640000
257,COCONUTS-2 b,402000000.00000000000,12.44196858,2002.31896410,,434.00,0.370000,[Fe/H],4.830000,10.88640000
258,CT Cha b,,24.66000000,5403.00000000,,2600.00,,,,190.72000000
259,CoRoT-1 b,1.50896350000,20.59440000,,,2036.00,,,4.325510,787.90900000
260,CoRoT-1 b,1.50897655200,15.91678000,340.07810000,0.071000,1834.00,,[Fe/H],4.250000,787.90900000
261,CoRoT-1 b,1.50896820000,19.22343500,390.93090000,0.036000,,1.220000,,,787.90900000
262,CoRoT-1 b,1.50896860000,17.38515900,327.36490000,,1915.00,0.950000,[Fe/H],4.311000,787.90900000
263,CoRoT-1 b,1.50896877200,,,,,,,,787.90900000
264,CoRoT-1 b,1.50895570000,16.70000000,327.35000000,0.000000,1898.00,0.950000,[M/H],4.250000,787.90900000
265,CoRoT-1 b,1.50895570000,16.58932000,359.14790000,0.000000,,1.030000,,,787.90900000
266,CoRoT-10 b,13.24060000000,10.87000000,874.00000000,0.530000,600.00,0.890000,[Fe/H],4.650000,338.38600000
267,CoRoT-10 b,13.23412611048,7.38532555,,,510.96,,,4.883310,338.38600000
268,CoRoT-10 b,13.24060000000,10.54766900,883.56740000,,647.00,0.904000,[Fe/H],4.652000,338.38600000
269,CoRoT-10 b,13.24060000000,10.87273000,867.67590000,0.524000,,0.890000,,,338.38600000
270,CoRoT-11 b,2.99328197444,21.74555811,,,1681.79,,,4.137830,655.03700000
271,CoRoT-11 b,2.99433000000,16.03000000,740.51000000,0.000000,1657.00,1.270000,[Fe/H],4.220000,655.03700000
272,CoRoT-11 b,2.99433000000,15.98403400,743.72220000,,1735.00,1.260000,[Fe/H],4.264000,655.03700000
273,CoRoT-11 b,2.99432500000,15.58051000,791.39670000,0.000000,1715.00,1.230000,,,655.03700000
274,CoRoT-11 b,2.99432500000,16.02887000,832.71460000,0.360000,,1.270000,[Fe/H],,655.03700000
275,CoRoT-11 b,,,,,,1.560000,[Fe/H],4.270000,655.03700000
276,CoRoT-11 b,2.99427803000,,,,,1.270000,[Fe/H],4.220000,655.03700000
277,CoRoT-12 b,2.82804200000,16.14000000,291.43800000,0.070000,1442.00,1.078000,[Fe/H],4.375000,1126.37000000
278,CoRoT-12 b,2.82804100000,,,,,1.078000,[Fe/H],4.375000,1126.37000000
279,CoRoT-12 b,2.82804200000,15.13215000,281.91521000,,1410.00,1.018000,[Fe/H],4.407000,1126.37000000
280,CoRoT-12 b,2.82804200000,16.14096000,290.81445000,0.050000,,1.078000,,,1126.37000000
281,CoRoT-12 b,2.82803914989,17.76037065,,,1293.28,,,4.373420,1126.37000000
282,CoRoT-12 b,2.82805268000,15.06489600,277.46559000,,1417.00,1.000000,,4.375000,1126.37000000
283,CoRoT-13 b,4.03519000000,9.92000000,415.70400000,0.000000,1700.00,1.090000,[Fe/H],4.460000,1148.93000000
284,CoRoT-13 b,4.03519000000,14.03366800,416.99296000,,1432.00,1.086000,[Fe/H],4.264000,1148.93000000
285,CoRoT-13 b,4.03519000000,9.91996500,423.03173000,0.067000,,1.090000,,,1148.93000000
